"Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"4393","CLOSED MSW DUMPSITE, UKKAYAPALLI
(V), KADAPA (M)","ANDHRA PRADESH","26","26","7","7.1","2082","2505","1","1","6.69","10.7","1.8","2","4","14","1370","1388","0.9","1.51","",""
"4394","BOREWELL AT APIIC OFFICE INDUSTRIAL
ESTATE GROWTH CENTRE, THUMAKUNTA
(V), HINDUPUR (M)","ANDHRA PRADESH","20","23","6.9","7.4","3964","4050","1","1.5","1.7","4.25","1.8","1.8","6","10","2262","2610","0.3","1.32","",""
"4395","BOREWELL AT APIIC OFFICE INDUSTRIAL
ESTATE, ANANTAPUR(M)","ANDHRA PRADESH","20","22","7.1","7.1","2710","3870","1","1.2","5.02","12.2","1.8","2","2","12","1640","2110","0.3","1.26","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1533","GROUND WATER AT DIGBOI, TINSUKIA
DISTT., ASSAM","ASSAM","18","18","7","7","232","232","2","2","0.8","0.8","1.8","1.8","1.8","1.8","152","152","0.26","0.26","",""
"1534","GROUND WATER AT KARBI ANGLONG
TOWN, ASSAM","ASSAM","25","25","7","7","242","242","1.9","1.9","0.8","0.8","1.8","1.8","1.8","1.8","158","158","0.31","0.31","",""
"1535","GROUND WATER AT SIVASAGAR GOVT
ME SCHOOL WARD 6, RED CROSS ROAD ,
ASSAM","ASSAM","23","26","7.5","7.8","284","318","1.8","2","0.9","1.1","1.8","1.8","1.8","1.8","180","208","0.31","0.33","",""
"1536","GROUND WATER FROM NEAR BPMS H.S.
SCHOOL SONARI TOWN DIST CHARAIDEO","ASSAM","25","26","7","7.4","345","366","1.7","2.1","0.9","1","1.8","1.8","1.8","1.8","232","234","0.26","0.28","",""
"1537","GROUND WATER FROM JORHAT TOWN,
ASSAM","ASSAM","20","24","7","7.2","294","302","1.9","2.2","0.9","1.1","1.8","1.8","1.8","1.8","194","202","0.3","0.31","",""
"1538","GROUND WATER FROM SILCHAR TOWN ,
ASSAM","ASSAM","23","24","6.4","6.8","138","226","2.4","2.9","0.8","1.1","1.8","1.8","1.8","1.8","98","128","0.28","0.31","",""
"1539","GROUND WATER FROM BARPETA TOWN,
ASSAM","ASSAM","26","26","7.1","7.2","218","250","1.9","2.2","0.9","0.9","1.8","1.8","1.8","1.8","148","172","0.28","0.33","",""
"1540","GROUND WATER FROM BONAIGAON
TOWN, ASSAM","ASSAM","29","30","7","7.2","302","302","1.8","2","0.9","1.2","1.8","1.8","1.8","1.8","198","206","0.3","0.32","",""
"1541","GROUND WATER FROM NOONMATI
GUWAHATI, ASSAM","ASSAM","24","26","6.9","7.2","328","368","2","2.2","1","1.2","1.8","1.8","1.8","1.8","220","228","0.27","0.29","",""
"1542","GROUND WATER FROM SIJUBARI
MAZAR, NATBOMA HATIGAON,
GUWAHATI","ASSAM","23","28","6.6","7.2","360","386","2.2","2.2","0.8","1","1.8","1.8","1.8","1.8","242","268","0.26","0.29","",""
"2243","GROUND WATER FROM LEDO,
MARGHERITA, ASSAM","ASSAM","18","18","7.6","7.6","240","240","2.2","2.2","1","1","1.8","1.8","1.8","1.8","166","166","0.28","0.28","",""
"2244","GROUND WATER FROM NAZIRA, ASSAM","ASSAM","25","26","7.1","7.5","330","340","1.8","2","0.9","0.9","1.8","1.8","1.8","1.8","226","234","0.28","0.31","",""
"2245","GROUND WATER FROM NUMALIGARH
(NEAR NRL TE LABOR COLONY), ASSAM","ASSAM","22","25","6.9","7.5","186","230","2","2.4","0.8","0.9","1.8","1.8","1.8","1.8","128","150","0.27","0.34","",""
"2246","GROUND WATER FROM SEMENCHAPARI,
ASSAM","ASSAM","25","25","7.1","7.1","292","292","2.2","2.2","1","1","1.8","1.8","1.8","1.8","192","192","0.31","0.31","",""
"2247","GROUND WATER FROM SILAPATHAR,
ASSAM","ASSAM","26","26","7","7.2","262","270","2","2.4","1","1.4","1.8","1.8","1.8","1.8","160","168","0.3","0.3","",""
"2248","GROUND WATER FROM LAKHIMPUR
TOWN, ASSAM","ASSAM","25","25","7.2","7.3","240","270","2","2.3","0.8","0.8","1.8","1.8","1.8","1.8","166","170","0.28","0.32","",""
"2249","GROUND WATER FROM TEZPUR
(MISSION CHARIALI), ASSAM","ASSAM","26","26","6.8","7","254","260","2.1","2.2","0.9","1","1.8","1.8","1.8","1.8","168","174","0.33","0.33","",""
"2250","GROUND WATER FROM NAGAON
(PANIGAON), ASSAM","ASSAM","25","25","7.1","7.1","290","290","2","2","1","1","1.8","1.8","1.8","1.8","198","198","0.28","0.28","",""
