"Station
Code","Name of the monitoring location","State","Temperature
(°C)","Dissolved
Oxygen
"5506","River Beas at Kamboh Dahiwala","PUNJAB","18","18","8.4","8.4","7.2","7.2","252","252","1.4","1.4","0.60","0.60","93","93","220","220","",""
"1697","RIVER BEAS AT HARIKE, PUNJAB","PUNJAB","12","27","7.9","8.8","7.5","8.1","210","255","1.0","1.4","0.30","0.76","110","200","280","390","",""
"Station
Code","Name of the monitoring location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"2611","RIVER SUTLEJ AFTER CONF. WITH RIVER SPIT AT KHAB","HIMACHAL
PRADESH","6","12","9.1","9.5","7.7","8.3","127","479","1.0","1.0","0.32","0.85","7","70","39","1600","2","2"
"4448","RIVER SUTLEJ BEFORE CONFLUENCES WITH RIVER
TIDONG","HIMACHAL
PRADESH","7","12","9.0","9.4","7.4","8.4","127","467","1.0","1.0","0.32","0.90","4","94","17","920","2","2"
"3872","RIVER SUTLEJ D/S TIDONG HEP","HIMACHAL
PRADESH","7","12","8.9","9.3","7.6","8.4","128","470","1.0","1.0","0.32","1.35","9","220","220","1600","2","2"
"4449","RIVER SUTLEJ AFTER CONFLUENCES WITH RIVER
TIDONG","HIMACHAL
PRADESH","7","12","8.9","9.3","7.5","8.4","130","471","1.0","1.0","0.32","0.93","2","220","70","920","2","2"
"3871","RIVER SUTLEJ D/S POWER HOUSE KASHANG HEP","HIMACHAL
PRADESH","7","12","8.9","9.3","7.6","8.4","128","465","1.0","1.0","0.32","0.85","12","140","140","1600","2","2"
"4452","RIVER SUTLEJ BEFORE CONFLUENCES OF RIVER BASPA","HIMACHAL
PRADESH","7","13","8.7","9.5","7.7","8.4","129","471","1.0","1.0","0.32","1.01","4","33","27","920","2","2"
"3870","RIVER SUTLEJ AFTER CONF. OF RIVER BASPA AT
KARCHAM DAM","HIMACHAL
PRADESH","7","13","9.0","9.5","7.8","8.4","81","459","1.0","1.0","0.32","0.88","5","140","94","1600","2","2"
"4453","RIVER SUTLEJ AFTER CONFLUENCES OF RIVER BASPA","HIMACHAL
PRADESH","7","13","8.9","9.3","7.8","8.4","83","420","1.0","1.0","0.32","0.82","7","220","39","920","2","2"
"4450","RIVER SUTLEJ BEFORE CONFLUENCE WITH GANVI
KHAND","HIMACHAL
PRADESH","7","13","8.7","9.3","7.7","8.3","79","475","1.0","1.0","0.32","0.99","2","280","17","920","2","2"
