"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"4507","CHELEKERE LAKE","LAKE","KARNATAKA","24","34","1.0","7.9","6.3","8.2","426","754","4.0","30.0","1.62","3.00","210","11000","2400","49000","",""
"4508","SINGAPURA LAKE","LAKE","KARNATAKA","24","33","1.0","7.9","6.7","7.9","350","1024","4.0","39.0","1.42","3.50","310","9200","3500","46000","",""
"4509","NARASIPURA LAKE","LAKE","KARNATAKA","24","32","0.9","8.0","6.2","8.0","317","1022","4.0","28.0","1.22","3.50","150","6800","2200","33000","",""
"4510","RACHENAHALLI LAKE","LAKE","KARNATAKA","24","34","0.4","8.0","6.8","8.0","355","1392","4.0","29.0","1.42","5.39","210","4000","3500","17000","",""
"4511","KOGILU KERE","LAKE","KARNATAKA","24","34","1.6","7.8","6.4","8.0","430","1025","4.0","29.0","1.72","3.50","230","4900","2200","24000","",""
"4512","VISWANEEDAM LAKE","LAKE","KARNATAKA","24","27","0.3","4.1","6.4","7.9","330","1474","14.0","144.0","1.10","5.60","240","1700000","3500","3300000","",""
"4514","SADARAMANGALA LAKE","LAKE","KARNATAKA","22","29","2.2","7.0","6.5","7.8","565","1112","5.0","38.0","1.62","4.32","25","21000","920","70000","",""
"4515","BHATTARAHALLI LAKE","LAKE","KARNATAKA","22","27","2.7","6.0","6.9","8.9","620","1447","4.0","16.0","1.90","6.57","63","8400","920","12000","",""
"4516","KUNDALAHALLI LAKE","LAKE","KARNATAKA","25","28","0.3","6.2","7.2","8.7","524","1968","4.0","41.0","2.00","7.14","45","92000","230","460000","",""
"4519","RAMPURA LAKE","LAKE","KARNATAKA","23","27","0.3","4.8","6.7","7.4","795","1992","5.0","86.0","3.58","8.78","17","12000000","1600","21000000","",""
"4520","CHINNAPPANAHALLI LAKE","LAKE","KARNATAKA","22","28","2.3","6.2","6.6","8.5","529","2027","4.0","17.0","0.30","7.00","13","2100","1600","13000","",""
"4521","DEVARABEESANAHALLI LAKE","LAKE","KARNATAKA","25","29","1.2","5.8","7.2","9.5","334","1664","5.0","78.0","1.22","6.70","24","25000","1600","84000","",""
"4522","VIBHUTHIPURA LAKE","LAKE","KARNATAKA","21","25","1.3","6.3","6.5","7.8","460","1583","5.0","25.0","1.82","8.00","210","9200","2800","46000","",""
"4523","NALLURAHALLI LAKE","LAKE","KARNATAKA","25","27","2.9","7.0","6.6","8.2","487","1437","4.0","21.0","1.82","5.04","21","8400","940","92000","",""
"4524","PATTANDUR AGRAHARA LAKE","LAKE","KARNATAKA","24","27","2.8","6.2","6.8","7.9","1109","2970","5.0","39.0","3.48","34.00","22","17000","430","48000","",""
"4525","SEETHARAMPALYA LAKE","LAKE","KARNATAKA","25","27","1.5","6.2","7.1","8.5","589","1594","3.8","41.0","1.97","6.62","17","1400000","2200","4900000","",""
"4526","DEVASANDRA LAKE","LAKE","KARNATAKA","20","26","0.6","6.7","6.5","8.2","442","1778","4.0","87.0","0.81","6.80","84","17000","1600","70000","",""
"4527","SHEELAVANTA-WHITEFIELD LAKE","LAKE","KARNATAKA","2","27","1.0","5.9","6.6","8.2","544","1696","5.0","90.0","1.92","22.00","14","14000","920","46000","",""
"4528","DODDAKANNEHALLI LAKE","LAKE","KARNATAKA","24","30","1.2","4.8","7.1","9.3","578","2015","6.0","72.0","2.22","7.34","21","25000","1400","350000","",""
"4529","KASAVANAHALLI LAKE","LAKE","KARNATAKA","25","28","1.7","6.4","6.9","7.7","615","1102","4.0","10.0","1.19","4.00","21","32000","1600","350000","",""
"4530","KAMMASANDRA LAKE","LAKE","KARNATAKA","22","23","0.3","5.2","6.9","7.6","608","2356","5.0","101.0","2.72","9.00","310","34000000","2200","48000000","",""
"4533","ULLALU LAKE","LAKE","KARNATAKA","24","30","0.3","7.1","6.3","7.0","307","606","4.0","23.0","0.32","2.15","26","14000","1600","48000","",""
"4534","SOMPURA LAKE","LAKE","KARNATAKA","24","35","0.3","6.8","6.5","9.7","468","2230","4.0","41.0","1.72","22.00","43","4600","1600","13000","",""
"4535","GUBBALAL LAKE","LAKE","KARNATAKA","24","33","0.3","6.5","6.5","9.2","319","772","4.0","38.0","0.95","3.46","14","4600","1600","17000","",""
"4536","HOSAKEREHALLI LAKE","LAKE","KARNATAKA","23","35","0.3","5.4","6.3","8.3","306","1342","6.0","67.0","1.82","4.30","240","14000","3500","70000","",""
"4537","CHINNAKURCHI KERE","LAKE","KARNATAKA","24","38","0.3","7.1","6.5","8.8","234","4170","4.0","96.0","0.79","14.80","110","45000","3500","230000","",""
"4538","MACHOHALLI LAKE","LAKE","KARNATAKA","23","32","0.3","6.2","6.8","7.7","497","3280","9.0","120.0","1.60","11.80","26","14000","1400","46000","",""
"4539","DODDABIDARAKALLU LAKE","LAKE","KARNATAKA","24","29","0.3","5.4","6.7","7.6","1185","2042","6.0","93.0","4.72","28.00","210","1100000","3500","4900000","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"4540","KAMMAGONDANAHALLI LAKE","LAKE","KARNATAKA","23","29","0.7","6.9","6.6","7.8","343","1776","5.0","24.0","1.50","8.02","38","3400","1600","14000","",""
"4541","ALUR LAKE","LAKE","KARNATAKA","24","29","4.6","7.0","6.5","7.5","158","538","4.0","9.0","0.59","7.02","26","4600","920","14000","",""
"4542","BASAVANAPURA LAKE","LAKE","KARNATAKA","24","28","1.5","6.0","7.0","8.1","369","1273","4.0","20.0","1.10","8.62","170","11000","3500","54000","",""
"4543","KODI SINGASANDRA LAKE","LAKE","KARNATAKA","24","27","3.0","6.4","6.8","8.0","480","1840","4.0","12.0","0.02","4.02","33","2700","1600","24000","",""
"4544","KOTHANURU LAKE","LAKE","KARNATAKA","25","30","2.0","6.6","6.6","8.1","394","1552","4.0","28.0","0.80","7.10","17","4800","1600","35000","",""
"4545","JUNGU KERE
(DEVARABEESANAHALLI LAKE)","LAKE","KARNATAKA","25","28","3.2","4.7","7.3","8.2","536","1240","6.0","24.0","2.12","4.40","330","3300","2200","11000","",""
"4546","JAKKSANDRA LAKE
(KASAVANAHALLI LAKE )","LAKE","KARNATAKA","24","29","4.2","6.9","7.3","7.8","426","1212","4.0","13.0","1.62","4.10","84","270","920","2800","",""
"4547","MANGAMANAPALYA
LAKE(SWARANA KUNTE)","LAKE","KARNATAKA","24","30","3.0","6.8","7.1","8.3","428","1135","4.0","15.0","0.02","4.30","24","13000","920","46000","",""
"5558","Kannahalli Lake Kannahalli,
Bengaluru","LAKE","KARNATAKA","23","30","0.3","6.1","6.5","8.1","1045","2001","4.0","45.0","3.82","6.90","130","14000","1700","48000","",""
"5559","Shettihalli Lake, Mallasandra
Gudde Lake Bengaluru","LAKE","KARNATAKA","24","29","0.3","6.9","5.9","7.6","481","1766","4.0","70.0","1.30","22.00","24","21000","920","48000","",""
"5560","Hoodi (Rajapalya Lake) Itpl Main
Road, Near Hoodi,Bengaluru","LAKE","KARNATAKA","24","28","0.3","7.2","7.1","8.5","602","2393","4.0","58.0","0.32","8.30","48","24000","540","49000","",""
"5561","Munekolalu Lake ,Marathahalli,
East Taluka ,Bengaluru","LAKE","KARNATAKA","24","26","1.3","6.2","6.5","8.4","398","864","4.0","75.0","1.82","3.10","23","23000","2400","210000","",""
"5562","MahadevpuraÂ Lake, K. R.
Puram , Bangalore East Taluka","LAKE","KARNATAKA","25","27","3.4","6.9","6.6","9.1","574","1635","4.0","29.0","1.42","22.00","140","310000","2200","700000","",""
"5563","Segehalli Lake Baavanapura Road
Battarahalli , Bangalore East","LAKE","KARNATAKA","21","27","0.8","4.2","6.5","8.5","533","1590","6.0","140.0","1.80","7.60","140","220000","2400","1300000","",""
"5564","Kannamangala Lake Hoskote
Main Road , Bengalore","LAKE","KARNATAKA","21","28","2.2","5.9","6.7","8.2","539","2321","4.0","22.0","2.22","8.90","170","3400","2800","13000","",""
"5565","Kannur Lake Near By Hennur
Road Bengalore","LAKE","KARNATAKA","24","27","0.3","6.2","7.1","7.9","785","2075","4.0","73.0","2.50","14.00","200","4900","3300","22000","",""
"5566","Basavanapura Lake Ayyappa
Nagr Main Road , K. R. Puram ,
Bengaluru","LAKE","KARNATAKA","22","26","0.3","6.6","6.5","8.2","457","1533","5.0","25.0","1.00","6.10","32","230000","350","460000","",""
"5567","Doddakallasandra
Lake,Bengaluru","LAKE","KARNATAKA","26","27","3.2","6.1","6.7","7.7","202","1196","4.0","15.0","0.72","4.95","170","4700","2800","92000","",""
"5568","Ulsoor Lake Near
Kalyani,Bengaluru","LAKE","KARNATAKA","28","35","4.4","6.8","6.7","9.3","341","759","4.0","8.0","1.22","5.86","17","33000","94","170000","",""
"5569","Byrasandra Upper
Lake,Bengaluru","LAKE","KARNATAKA","28","35","2.7","6.6","6.5","7.9","364","979","4.0","21.0","1.22","14.26","9","2700","70","13000","",""
"5570","Soulkere, Kaikondrahalli
Vill,Bengaluru","LAKE","KARNATAKA","24","28","1.8","6.3","7.2","8.5","455","2084","4.0","18.0","1.72","7.00","26","31000","1600","170000","",""
"5571","Kudlu Doddakere, Kudlu
Vill,Bengaluru","LAKE","KARNATAKA","24","29","0.3","5.7","6.9","9.8","406","1402","5.0","94.0","1.82","4.54","140","4900","1700","9400","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5572","Kudlu Chikkakere, Bgp Layout
Kudlu Vill ,Bengaluru","LAKE","KARNATAKA","24","29","0.3","6.3","7.4","8.7","490","1304","4.0","48.0","2.00","4.40","21","4600","920","22000","",""
"5574","Anjanapura Lake ( Avala Halli
Lake) Anjanapura,Bengaluru","LAKE","KARNATAKA","26","30","1.0","6.3","6.5","8.2","376","916","4.0","40.0","0.02","3.58","17","3300","350","16000","",""
"5575","Hanchanal Lake ,Hanchanal
Vill,Bengaluru","LAKE","KARNATAKA","20","28","0.3","7.5","6.9","8.8","1018","1338","3.3","44.0","0.91","14.04","920","1840","1600","3200","540","1080"
"5576","Belur Lake , Belur Industrial Area
, Dharwad,Bengaluru","LAKE","KARNATAKA","22","26","5.5","6.7","7.3","8.1","731","1715","5.0","8.0","0.81","2.12","630","1100","3900","6900","",""
"5577","Tollan Kere Lake, Ravi Nagar ,
Hobli, Dharwad
Distirct,Bengaluru","LAKE","KARNATAKA","22","29","4.8","6.5","7.7","8.7","715","982","4.3","16.0","0.80","2.03","690","2800","5400","9400","",""
"5588","Agastya Tirth Lake Of Mena
Basadi At Badami, Bagalkote
District.","LAKE","KARNATAKA","17","22","5.5","9.5","7.1","8.4","265","578","1.2","10.7","0.62","14.02","540","1840","920","3200","120","1080"
"5589","Mallapura Kere, Mallapura Vill,
Nh-13, Hospet Road
Chitradurga,Bengaluru","LAKE","KARNATAKA","25","29","0.3","15.7","7.1","8.7","890","1670","4.2","20.0","0.30","8.75","140","1700","1100","16000","",""
"3682","KAKATI POND","POND","KARNATAKA","22","30","0.9","10.1","7.4","9.2","760","5760","2.2","36.0","0.65","12.18","540","1840","920","3200","220","1080"
"3560","MAVINAKERE TANK","TANK","KARNATAKA","27","29","5.2","6.8","8.0","9.8","1365","2502","12.0","30.0","3.00","7.48","9400","24000","35000","92000","",""
"3561","HANDIKERE (KOPPAL) TANK","TANK","KARNATAKA","22","35","3.1","7.1","7.4","8.5","287","745","3.0","17.0","0.32","2.00","390","3900","2400","14000","",""
"3565","PILIKULA TANK","TANK","KARNATAKA","27","32","6.0","7.8","6.9","8.1","58","240","1.6","3.0","0.30","1.90","17","47","140","920","",""
"3588","KARANJIKERE TANK","TANK","KARNATAKA","17","28","4.3","7.5","7.7","8.7","529","760","2.4","6.2","0.90","4.76","360","1200","4100","6300","",""
"3589","MADIWALA TANK","TANK","KARNATAKA","26","30","1.0","6.8","7.1","8.7","410","1150","4.0","38.0","0.02","5.42","43","9200","1600","92000","",""
"3590","LALBAGH TANK","TANK","KARNATAKA","24","33","4.4","7.1","7.4","9.0","472","693","4.0","9.0","0.92","3.19","47","14000","920","49000","",""
"3591","KEMPAMBUDHI TANK","TANK","KARNATAKA","25","34","2.2","6.2","6.6","8.1","325","740","5.0","20.0","1.02","2.50","210","13000","3500","33000","",""
"3592","YEDIYUR TANK","TANK","KARNATAKA","24","35","0.9","6.5","6.6","8.9","253","650","4.0","42.0","0.92","2.20","260","11000","2400","33000","",""
"3594","SANKEY TANK","TANK","KARNATAKA","27","29","4.5","6.9","6.9","8.0","286","627","4.0","8.0","1.17","9.60","17","2400","1600","17000","",""
"3595","BYRASANDRA TANK","TANK","KARNATAKA","28","35","2.9","6.3","6.6","9.6","385","847","4.0","18.0","1.40","14.42","210","21000","3500","46000","",""
"3596","NAYANDANAHALLI TANK","TANK","KARNATAKA","24","37","2.3","6.2","7.4","8.9","544","970","4.0","18.0","2.17","17.00","32","1700","1400","11000","",""
"3598","HEROHALLI TANK","TANK","KARNATAKA","24","29","0.3","5.8","6.6","7.8","384","675","4.0","30.0","1.22","4.42","200","22000","2000","79000","",""
"3600","SHIVAPURA TANK","TANK","KARNATAKA","23","28","0.3","6.2","6.5","8.2","632","3550","4.0","22.0","2.32","63.00","140","27000","1300","110000","",""
"3606","DASARAHALLI TANK","TANK","KARNATAKA","24","28","0.5","6.8","6.3","7.8","237","702","4.0","24.0","1.11","4.62","140","14000","2400","70000","",""
"3607","KALKERE TANK","TANK","KARNATAKA","23","26","0.3","4.3","6.5","9.2","682","1580","6.0","148.0","2.33","5.60","140","21000","1300","49000","",""
"3610","TUBARAHALLI TANK","TANK","KARNATAKA","25","27","1.2","6.3","6.6","8.2","570","1170","4.0","29.0","2.00","4.30","33","680000","920","3100000","",""
"3619","BEGUR TANK","TANK","KARNATAKA","24","31","1.6","6.4","7.2","8.0","391","1842","4.0","39.0","0.02","6.40","33","43000","1600","540000","",""
"3623","ANEKAL DODDAKERE TANK","TANK","KARNATAKA","24","37","1.2","7.2","7.0","8.0","758","1836","4.0","20.0","3.42","7.05","32","2600","920","17000","",""
"3630","YELAHANKA TANK","TANK","KARNATAKA","24","32","0.3","8.0","6.6","8.2","323","1255","5.0","31.0","1.27","4.82","170","3100","2200","46000","",""
"3633","SUBRAMANYAPURA TANK","TANK","KARNATAKA","23","36","0.3","6.0","6.6","9.2","384","5270","5.0","81.0","1.22","20.20","170","4900","2200","17000","",""
"3634","DEVARAKERE TANK","TANK","KARNATAKA","24","37","0.3","6.2","6.5","8.7","292","856","5.0","78.0","1.00","6.00","200","7900","2200","35000","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3639","KENGERI TANK","TANK","KARNATAKA","24","34","2.3","7.1","6.5","8.7","308","1165","4.0","20.0","1.02","4.70","14","320","240","9200","",""
"3641","DHOREKERE TANK","TANK","KARNATAKA","24","38","0.3","6.1","6.5","8.6","312","697","4.0","132.0","1.02","7.00","170","6300","2400","17000","",""
"3642","JIGANI TANK","TANK","KARNATAKA","24","37","1.8","7.5","7.0","8.0","781","1479","4.0","30.0","3.02","5.68","21","23000","630","46000","",""
"3648","MYDALA TANK","TANK","KARNATAKA","21","31","4.4","7.4","6.9","7.7","138","424","4.0","9.0","0.56","2.86","14","2700","920","24000","",""
"3650","MELEKOTE TANK","TANK","KARNATAKA","21","34","0.3","6.0","6.7","8.0","620","2128","4.0","80.0","2.52","8.20","22","14000","920","54000","",""
"3653","DODDAKERE TANK(KUNIGAL)","TANK","KARNATAKA","21","29","5.7","6.9","6.6","7.9","136","455","4.0","8.0","0.57","1.62","13","2100","205","13000","",""
"3655","MATHIKERE TANK","TANK","KARNATAKA","27","29","0.7","6.1","6.5","9.1","291","811","4.0","25.0","1.02","3.02","7","230000","110","330000","",""
"3657","KANCHANAHALLI KOPPALU KERE","TANK","KARNATAKA","23","32","1.9","5.4","7.9","8.7","1130","5900","5.1","23.0","5.90","9.60","490","1400","3500","7900","",""
"3659","MAKANA (KANDALI) KERE","TANK","KARNATAKA","23","32","1.0","4.3","7.2","7.9","460","1120","5.0","33.0","2.40","6.82","1700","7800","9200","49000","",""
"3661","KOKKANAGHATTADODDAKERE
TANK","TANK","KARNATAKA","23","31","4.2","6.8","7.3","8.3","510","1100","2.9","8.0","1.60","6.12","330","780","2100","5400","",""
"3662","KOUSHIKA KERE","TANK","KARNATAKA","22","33","5.1","6.6","7.2","8.3","410","810","2.2","3.0","1.30","5.62","260","450","1700","3500","",""
"3663","JOLADAKATTE TANK","TANK","KARNATAKA","22","29","5.2","7.1","7.6","8.3","450","690","2.0","4.0","1.40","6.32","210","680","1600","4600","",""
"3664","BASAVANAHALLIKERE TANK","TANK","KARNATAKA","22","26","4.5","6.4","7.0","7.5","210","360","2.0","2.9","2.60","3.62","200","490","1400","3500","",""
"3665","LINGAPPANAKATTE TANK","TANK","KARNATAKA","21","31","5.8","7.0","7.6","8.3","460","730","2.0","4.0","0.90","6.82","200","460","1400","3900","",""
"3666","GANIGARAHOSAHALLIKERE
TANK","TANK","KARNATAKA","21","27","5.9","6.7","7.3","8.0","650","980","2.0","3.8","3.82","6.12","170","790","1100","5400","",""
"3667","SATHENAHALLIDODDAKERE
TANK","TANK","KARNATAKA","22","31","4.2","6.4","7.3","8.3","680","1180","2.9","4.1","1.10","6.42","400","940","3300","5400","",""
"3668","SODHARAHALLIKERE","TANK","KARNATAKA","23","29","4.5","8.2","6.8","8.2","1200","3100","3.5","5.4","1.40","7.12","460","790","3500","5400","",""
"3669","PEREMANAHALLI KERE","TANK","KARNATAKA","22","32","5.8","6.7","7.2","8.2","410","760","1.9","3.0","0.92","5.22","200","490","1500","3500","",""
"3670","AINORAKATTE KERE","TANK","KARNATAKA","22","27","4.2","6.8","7.6","8.0","470","2700","2.7","7.8","4.12","8.10","330","1100","2400","9200","",""
"3671","HANUMANTHAPURAKATTE
TANK","TANK","KARNATAKA","22","26","6.0","6.9","6.8","7.7","400","610","2.1","2.8","4.12","7.02","200","460","1400","3500","",""
"3672","SANKALAPURAKERE TANK","TANK","KARNATAKA","23","26","5.6","6.7","7.2","7.9","470","520","2.7","3.4","4.52","7.22","270","700","2400","5400","",""
"3673","AVALI KERE","TANK","KARNATAKA","22","31","1.0","2.0","7.2","8.0","980","1890","28.0","60.0","3.80","7.60","460","1700","3500","9400","",""
"3675","B KATIHALLI KERE","TANK","KARNATAKA","21","24","6.8","7.2","7.6","8.1","340","550","2.0","3.0","2.92","5.62","200","320","1400","2200","",""
"3676","SAHANA LAKE","TANK","KARNATAKA","21","30","6.2","7.2","7.2","8.0","360","720","2.0","3.0","1.10","3.22","200","390","1300","2800","",""
"3677","SHARANABASAVESHWARA KERE
TANK","TANK","KARNATAKA","26","33","4.1","8.8","8.0","8.9","1050","2690","5.0","14.0","0.30","9.50","230","14000","230","160000","",""
"3678","NANJAPURA TANK","TANK","KARNATAKA","26","30","4.4","7.9","6.9","7.7","1280","3250","3.0","50.0","0.50","3.50","17","9400","33","14000","",""
"3681","ANGOL MI TANK","TANK","KARNATAKA","22","28","0.3","6.5","6.5","8.2","388","698","3.9","35.0","0.32","7.44","920","1840","1600","3200","220","1080"
"3683","HEREKERE TANK","TANK","KARNATAKA","23","24","5.2","6.2","7.6","8.1","881","1406","16.0","24.0","0.77","1.68","2600","9200","9400","22000","",""
"3686","NIRASAGARAKERE TANK","TANK","KARNATAKA","22","28","6.3","7.5","7.6","8.1","323","426","1.5","2.3","0.32","0.96","69","150","430","630","",""
"3689","SOMESHWARAKERE TANK","TANK","KARNATAKA","22","27","4.8","6.7","7.4","8.1","784","1496","5.0","13.0","1.06","2.78","840","2200","5400","7900","",""
"3691","VIMANABHUTHIKERE TANK","TANK","KARNATAKA","26","29","6.6","7.6","7.5","8.6","90","270","1.0","2.0","0.30","1.13","11","130","540","1100","",""
"3693","BHATHIKERE TANK","TANK","KARNATAKA","26","29","4.6","6.4","6.9","8.5","380","1340","3.2","20.5","0.30","6.57","3900","9400","17000","54000","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3694","SHANTHISAGARKERE TANK","TANK","KARNATAKA","25","27","6.3","7.0","7.9","8.6","177","550","1.4","5.1","0.30","1.84","17","2100","540","13000","",""
"3697","MATADAKERE TANK
(ARASANAKERE)","TANK","KARNATAKA","26","29","1.7","11.8","8.2","9.8","820","1330","3.9","36.0","0.31","4.90","1700","17000","14000","92000","",""
"4092","MANCHALAPUR TANK,
MANCHALAPUR, RAICHUR","TANK","KARNATAKA","26","29","5.3","7.2","7.7","9.1","971","3020","6.0","54.0","1.86","6.30","7900","24000","35000","920000","",""
"4498","SANAVALLI DAM, MUNGOD","TANK","KARNATAKA","22","34","6.3","7.4","6.9","8.2","154","286","1.8","2.3","0.32","0.32","22","111","220","430","",""
"4502","RAMAMMANA KERE","TANK","KARNATAKA","25","38","1.4","5.9","7.0","8.5","502","1490","5.0","78.0","1.72","5.70","5","46000","23","170000","",""
"4503","MADHURE TANK","TANK","KARNATAKA","25","32","4.2","6.9","6.7","7.7","187","432","4.0","11.0","0.50","4.02","170","4300","3500","22000","",""
"4513","RAMAMMANA KERE","TANK","KARNATAKA","23","30","2.8","6.4","6.6","8.0","535","2033","4.0","21.0","1.30","8.02","32","14000","1100","48000","",""
"4517","KOWDHENAHALLI TANK","TANK","KARNATAKA","23","28","1.4","6.0","6.7","7.9","474","971","7.0","33.0","2.13","3.92","24","1100","1600","5400","",""
"4518","GARUDACHARPALYA TANK","TANK","KARNATAKA","25","28","1.4","6.6","6.5","8.4","523","1160","4.0","20.0","1.52","4.96","170","45000","2200","230000","",""
"4531","RAYASANDRA LAKE","TANK","KARNATAKA","21","28","0.3","3.2","7.0","7.8","1467","2250","14.0","66.0","1.12","9.02","580","26000","7900","94000","",""
"4532","CHANDAPURA LAKE","TANK","KARNATAKA","22","28","0.3","2.9","6.8","7.9","705","2552","26.0","98.0","0.72","11.00","840","1100000","4900","4900000","",""
"1383","AKKULAM LAKE AT
ORUVATHILKOTTA,
THIRUVANANTHAPURAM","LAKE","KERALA","28","29","0.8","5.2","6.4","7.4","325","2141","2.2","7.0","0.30","0.70","2300","6000","3100","8800","2","2"
"1385","SASTHAMCOTTA LAKE, KERALA","LAKE","KERALA","24","30","5.4","8.3","6.5","8.2","72","161","1.0","3.0","0.30","1.40","100","170","400","580","10","40"
"1441","ASHTHAMUDI LAKE AT QUILON,
KERALA","LAKE","KERALA","26","30","2.1","6.7","7.4","8.5","8860","54000","1.0","3.9","0.37","5.30","350","430","920","1130","40","84"
"1574","PARAVUR, KERALA","LAKE","KERALA","27","30","4.9","7.8","6.8","8.4","1122","13540","1.0","2.8","0.36","3.30","110","240","610","790","20","79"
"1575","VEMBANAD LAKE,KOCHI (OIL
TANKER JETTY), KERALA","LAKE","KERALA","26","32","2.3","5.3","7.1","10.0","439","43430","1.0","4.2","0.30","0.40","1700","11000","2800","490000","120","4100"
"1576","PERIYAR LAKE AT THEKKADY,
KERALA","LAKE","KERALA","24","27","6.3","8.1","6.5","7.4","40","55","1.0","1.0","0.30","0.63","2","430","2","840","2","2"
"1577","KODUNGALLOOR, KERALA","LAKE","KERALA","3","30","4.9","7.4","6.7","8.3","150","33760","1.0","2.9","0.30","0.36","350","5400","1700","7900","79","790"
"1578","KAYAMKULAM, KERALA","LAKE","KERALA","29","30","4.1","7.7","7.3","8.6","1600","8952","2.9","11.4","0.30","0.68","100","4400","500","6800","2","2"
"1579","ALAPPUZHA, KERALA","LAKE","KERALA","29","31","2.9","7.6","7.2","8.5","130","1825","1.0","4.3","0.30","1.53","600","4100","1000","9700","2","2"
"1580","POOKODE LAKE AT POOKODE","LAKE","KERALA","23","32","3.6","7.4","6.0","7.2","26","92","1.0","3.1","0.30","0.30","2","17","6","110","2","20"
"2312","LAKE VEMBANAD AT
PATHIRAMANAL (ALAPPUZHA)","LAKE","KERALA","29","30","5.9","8.0","6.9","8.6","123","2100","1.0","3.7","0.30","0.88","2","3300","110","5500","2","2"
"3470","VELLAYANI LAKE AT
VANDITHADOM,
THIRUVANANTHAPURAM","LAKE","KERALA","28","29","4.1","7.2","6.0","6.9","166","286","1.0","3.0","0.30","0.50","1400","3600","2400","5000","2","2"
"5179","VELI BOAT CLUB AT VELI
LAKE,THIRUVANANTHAPURAM","LAKE","KERALA","","","1.4","13.3","6.6","7.4","","","2.3","8.5","","","2700","16000","","","",""
"5180","AKKULAM BRIDGE AT AKKULAM
LAKE, THIRUVANANTHAPURAM","LAKE","KERALA","","","1.6","13.3","6.5","7.2","","","3.0","8.0","","","2400","22800","","","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5182","KOCHI LAKE AT GOSHREE
BRIDGE, KOCHI","LAKE","KERALA","26","28","3.9","7.1","6.9","9.4","5","5","1.0","1.0","","","1700","4700","","","",""
"5183","KOCHI LAKE NEAR COCHIN PORT
TRUST, KOCHI","LAKE","KERALA","27","28","3.0","6.9","7.1","9.1","","","1.0","3.7","0.32","0.32","840","7900","","","",""
"5184","KOCHI LAKE NEAR
THOPUMPADY, KOCHI","LAKE","KERALA","26","29","1.7","6.5","7.0","9.0","","","1.0","3.2","","","1400","9200","","","",""
"5185","KOCHI LAKE NEAR WELLINGTON
ISLAND, KOCHI","LAKE","KERALA","26","29","2.7","7.1","6.8","9.1","","","","","","","1000","4800","4200","4200","",""
"5190","VEMBANAD LAKE AT
ANDAKARANAZHI NEW BRIDGE,
ALAPPUZHA","LAKE","KERALA","","","1.9","7.3","7.3","8.6","","","1.6","7.8","","","300","6000","","","",""
"5198","ASHTAMUDI LAKE AT
THOPPILAKADAVU, KOLLAM","LAKE","KERALA","26","29","1.2","4.3","7.5","8.2","5600","30800","1.2","4.1","0.30","31.00","350","580","1100","1690","20","50"
"5199","ASHTAMUDI LAKE NEAR KSRTC
BUS DEPOT, KOLLAM","LAKE","KERALA","26","29","1.8","4.8","6.9","8.1","5450","37400","1.1","4.8","0.30","2.50","350","540","1200","1740","20","50"
