"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"2210","RAJMAW PUKHURI, JORHAT,
ASSAM","POND","ASSAM","20","34","5.6","6.9","6.8","7.8","88","108","2.0","2.8","0.60","1.10","300","730","720","1500","110","330"
"2211","PADUMPUKHURI, TEZPUR,
ASSAM","POND","ASSAM","19","34","7.0","10.4","6.9","7.6","140","192","2.2","2.7","0.60","1.20","300","360","720","1100","95","150"
"2212","GOPHUR TANK, GOPHUR,
ASSAM","POND","ASSAM","18","32","7.0","9.4","6.9","7.8","80","140","2.0","2.8","0.60","1.60","300","600","720","1200","95","210"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2213","JAIPAL PUKHURI, SIPAJHAR,
ASSAM","POND","ASSAM","20","32","7.1","9.8","6.8","7.9","112","160","2.0","2.4","0.60","1.20","300","620","610","1200","95","210"
"2214","BATODRAWA SATRA POND,
NAGAON, ASSAM","POND","ASSAM","19","33","4.2","10.5","6.8","7.9","80","112","1.8","2.6","0.60","1.20","300","610","910","1200","95","210"
"2216","DIGHALI PUKHURI, GUWAHATI,
ASSAM","POND","ASSAM","20","34","7.9","10.9","7.7","8.2","172","252","2.2","2.8","0.80","1.60","360","730","910","1600","75","240"
"2217","SUBHAGYA KUNDA POND
KAMAKHYA TEMPLE,
GUWAHATI, ASSAM","POND","ASSAM","19","29","4.3","9.3","6.6","7.8","238","316","2.0","2.8","0.70","2.00","360","1500","720","2800","120","460"
"2219","BISHNU PUSKAR PUKHURI OF
HAYAGRIB MADHAB TEMPLE,
HAJO, ASSAM","POND","ASSAM","20","33","4.6","10.6","7.0","8.0","126","170","2.0","2.4","0.70","1.20","300","600","610","1200","95","210"
"2221","GANGA PUKHURI, NALBARI
(GORDON SCHOOL), ASSAM","POND","ASSAM","19","33","4.6","10.0","7.0","8.0","92","140","2.1","2.6","0.80","1.60","300","360","730","1100","95","120"
"2222","RAJADINIA PUKHURI AT
ABHAYAPURI, ASSAM","POND","ASSAM","22","32","5.2","5.4","6.9","7.5","146","170","2.0","2.5","0.60","1.20","300","360","910","1100","95","150"
"2223","MAHAMAYA MANDIR PUKHURI,
ASSAM","POND","ASSAM","20","32","5.0","6.5","6.9","7.5","120","154","1.9","2.8","0.70","1.20","300","360","720","1400","95","150"
"2224","RAJAPUKHURI AT GAURIPUR,
ASSAM","POND","ASSAM","20","33","5.1","5.7","6.8","7.4","120","166","1.9","2.5","0.70","1.10","300","600","730","1300","95","210"
"2225","BASKANDI POND INSIDE THE
BASKANDI MADRASA,
BASKANDI, ASSAM","POND","ASSAM","15","23","5.1","6.4","7.1","7.3","102","126","2.2","2.6","0.60","1.30","300","360","910","1300","95","120"
"2226","SIVASAGAR TANK (BORPUKHURI)
NEAR SIVADOL, ASSAM","POND","ASSAM","17","31","6.0","7.6","6.8","7.8","72","96","2.0","2.6","0.60","1.20","300","730","730","1500","110","270"
"2227","HARDOI PUKHURI, CHARAIDEW,
ASSAM","POND","ASSAM","20","32","5.1","6.8","6.8","7.7","78","116","1.9","2.6","0.80","1.00","300","360","700","910","110","140"
"3772","BORPUKHURI AT SONARI","POND","ASSAM","21","36","5.5","8.2","6.8","7.6","88","130","2.2","2.8","0.60","1.20","300","730","730","1100","100","270"
"3775","TENGA PUKHURI AT
TENGAPUKHURI","POND","ASSAM","20","37","5.0","7.1","6.8","7.8","80","122","1.8","2.3","0.80","1.10","300","730","730","1500","110","270"
"3806","POND WATER FROM
RAMKRISHNA MISSION AT
HAILAKANDI","POND","ASSAM","21","24","5.3","5.8","6.6","7.2","108","178","2.3","2.8","0.60","1.20","300","720","720","1400","95","240"
