"Water Quality data of Medium & Minor River Monitored Under NWMP-2024"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"1626","RIVER NAMBUL AT HEIRANGOITHONG","NAMBUL","MANIPUR","20","31","5.8","7.2","6.9","7.2","330","720","4.2","4.7","","","190","235","815","1280","",""
"1627","RIVER IMPHAL AT KIYAMGI","IMPHAL","MANIPUR","18","31","7.2","7.4","7.2","7.5","150","280","3.1","3.5","","","50","95","120","170","",""
"1628","RIVER IMPHAL AT MINUTHONG","IMPHAL","MANIPUR","18","31","7","7.3","7.1","7.4","160","720","3.2","4.5","","","60","185","130","910","",""
"1927","RIVER SEKMAI RIVER, KAKCHING","SEKMAI","MANIPUR","19","31.4","7.2","7.4","7.2","7.4","150","194","3.1","3.3","","","20","65","70","175","",""
"2852","RIVER MANIPUR AT SEKMAIJIN","MANIPUR","MANIPUR","20","31","7.2","7.5","7.2","7.5","170","202","3.2","3.4","","","60","85","130","180","",""
"2853","RIVER THOUBAL ON MAPITHEL DAM","THOUBAL","MANIPUR","19","28","7.2","7.3","7.3","7.5","180","210","3","3.2","","","10","30","45","85","",""
"2854","RIVER THOUBAL AT PHADOM","THOUBAL","MANIPUR","19","31","7.1","7.4","7.2","7.4","170","190","3.1","3.4","","","15","50","50","120","",""
"2855","RIVER WANGJING AT HEIROK","WANGJING","MANIPUR","20","31","7.1","7.4","7.2","7.4","170","210","3.3","3.4","","","50","95","75","140","",""
"2856","RIVER THOUBAL AT YAIRIPOK","THOUBAL","MANIPUR","20","31","6.8","7.4","7.2","7.4","200","290","3.2","4.4","","","50","105","100","180","",""
"2857","RIVER MANIPUR AT THOUBAL","MANIPUR","MANIPUR","21","31","7.1","7.4","7.2","7.5","190","280","3","3.4","","","50","95","135","185","",""
"2858","RIVER NAMBUL AT SAMUSANG (U.K. ROAD)","NAMBUL","MANIPUR","20","31","6.8","7.3","7.1","7.3","230","780","4","4.6","","","95","130","175","250","",""
"2860","RIVER NAMBUL AT NAOREMTHONG","NAMBUL","MANIPUR","21","31","6.3","7.2","7.1","7.3","230","290","4.1","4.4","","","85","120","190","270","",""
"2862","RIVER IMPHAL AT SAMUROU","IMPHAL","MANIPUR","19","31","7.2","7.4","7.2","7.4","190","250","3","3.4","","","55","85","120","150","",""
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2863","RIVER IRIL AT KANGLA SIPHAI","IRIL","MANIPUR","20","31.2","7.3","7.5","7.3","7.5","180","270","3.1","3.2","","","30","60","60","80","",""
"2864","RIVER IMPHAL NEAR LEIKINTHABI ROAD, AWANG SEKMAI","IMPHAL","MANIPUR","21","31","7.2","7.4","7.3","7.5","170","230","3","3.2","","","40","80","120","165","",""
"2873","RIVER IRIL AT LILONG","IRIL","MANIPUR","20","31","7","7.4","7.2","7.4","210","280","3.2","3.4","","","50","85","100","195","",""
"2876","RIVER WANGJING AT WANGJING","WANGJING","MANIPUR","20","31.1","7.3","7.4","7.2","7.4","200","280","3.2","3.4","","","55","70","115","160","",""
"2879","RIVER MANIPUR AT ETHAI BARRAGE","MANIPUR","MANIPUR","19","30","7.2","7.5","7","7.4","160","220","3.1","3.3","","","65","85","160","210","",""
"1427","RIVER UMTREW AT BYRNIHAT EAST","UMTREW","MEGHALAYA","16","21","7","8","6.7","7.3","39","79","1.6","2.6","0.32","1.52","110","630","540","4600","49","430"
"1631","RIVER MYNTDU JOWAI","MYNTDU","MEGHALAYA","15","20","6.4","7.6","6.8","7.1","30","56","1.4","2.4","0.32","0.44","310","790","2100","4300","21","430"
"1632","RIVER GANOL TURA","GANOL","MEGHALAYA","15","23","6.9","8.1","6.8","7.4","64","85","1.4","2.2","0.38","0.51","43","210","430","1200","6","49"
"3350","RIVER UMKHEN AT WAH KDAIT,","UMKHEN","MEGHALAYA","10","20","6.7","7.4","6.7","7.1","65","80","1.5","2.1","0.77","3.22","17","45","100","920","2","23"
"3351","RIVER UMKHEN AT KSEHPONGDENG,","UMKHEN","MEGHALAYA","13","20","7.1","8.6","6.8","7.3","31","54","1","1.6","0.32","0.5","6","17","150","540","2","6"
"3352","RIVER UMKHEN AT DIENGPASOH","UMKHEN","MEGHALAYA","10","19","7","8.6","6.8","7.2","40","50","1","1.7","0.4","3.02","4","13","130","330","2","4"
"3353","RIVER UMIAM MAWPHLANG AT NONGKREM","UMIAM MAWPHLANG","MEGHALAYA","11","20","6.5","7.2","6.7","7.1","50","89","1.5","2.8","0.57","1.32","210","430","1100","2200","39","84"
"3354","RIVER UMIAM MAWPHLANG AT UMTYNGNGAR","UMIAM MAWPHLANG","MEGHALAYA","14","20","6.6","7.6","6.7","7.2","23","54","1.4","2.1","0.34","0.6","33","61","110","920","6","17"
"3355","RIVER UMIAM MAWPHLANG AT MAWPHLANG","UMIAM MAWPHLANG","MEGHALAYA","15","19","7","8","6.7","7.4","30","50","1","1.6","0.32","0.56","21","38","220","540","4","9"
"3356","RIVER UMIAM MAWPHLANG AT SHELLA","UMIAM MAWPHLANG","MEGHALAYA","15","22","7.3","8.5","6.9","7.3","88","118","1","1.2","0.32","0.71","1.8","6","23","49","1.8","2"
"3359","RIVER UMKHRAH AT DEMTHRING, SHILLONG","UMKHRAH","MEGHALAYA","15","19","0.3","5.8","6.6","7.2","208","502","8.2","38","0.76","5.12","6300","17000","17000","79000","2100","9200"
"3360","RIVER UMKHRAH AT UMKALIAR, SHILLONG","UMKHRAH","MEGHALAYA","15","20","4.2","6.4","6.8","7.3","168","306","4","9.6","3.22","28.02","2500","7000","5400","17000","840","2700"
"3361","RIVER UMKHRAH AT MAWLAI, NEAR SLAUGHTER HOUSE","UMKHRAH","MEGHALAYA","15","19","0.3","5.2","6.7","7.3","240","389","10","49","0.84","4.12","14000","54000","46000","200000","4300","23000"
"3362","RIVER UMKHRAH AT MAWPDANG, MAWLAI","UMKHRAH","MEGHALAYA","15","20","0.3","5","6.7","7.2","270","428","12","44","0.54","1.82","17000","49000","49000","170000","4600","21000"
"3363","RIVER UMSHYRPI AT RISA COLONY","UMSHYRPI","MEGHALAYA","14","19","7","7.9","6.6","7","27","52","1","1.8","0.58","1.82","4","17","63","170","2","8"
"3364","RIVER UMSHYRPI AT LAW COLLEGE, DHANKETI,","UMSHYRPI","MEGHALAYA","15","20","0.3","4.8","6.6","6.9","220","412","13","53","0.4","3.92","20000","58000","54000","220000","4900","21000"
"3365","RIVER UMSHYRPI AT UMSHYRPI BRIDGE","UMSHYRPI","MEGHALAYA","15","20","3.6","6.1","6.5","7.1","120","390","5.5","19","1.06","7.82","3100","7900","9400","34000","1100","3300"
"3366","RIVER UMTREW AT UMRAN,","UMTREW","MEGHALAYA","15","20","6.9","8.7","6.7","7.3","21","49","1.3","1.9","0.32","0.7","110","270","330","1100","17","58"
"3379","RIVER MYNTDU AT LESHKA","MYNTDU","MEGHALAYA","16","20","7","8.6","4.5","5.8","28","52","1","1.5","0.32","0.54","4","11","23","170","2","6"
"3383","RIVER BUGI AT MIBONPARA","BUGI","MEGHALAYA","14","23","7","7.8","6.8","7.4","62","88","1.4","1.9","0.4","0.82","13","49","220","540","2","17"
"3384","RIVER BUGI AT DALU","BUGI","MEGHALAYA","15","24","6.6","7.6","6.8","7.4","76","106","1.7","2.6","0.32","0.44","38","170","540","840","7","40"
"4112","RIVER GANOL AT GAROBADHA","GANOL","MEGHALAYA","16","24","6.7","8.3","6.8","7.4","70","97","1.3","2.1","0.32","0.58","6","210","280","1200","2","49"
"4316","RIVER MYNTDU AT MIHMYNTDU","MYNTDU","MEGHALAYA","14","21","6.7","8.1","6.8","7.2","37","58","1.4","2.3","0.36","5.4","27","110","350","700","4","33"
"2050","RIVER TLAWNG MID STREAM, REIEK KAI, AIZAWL,U/S OF TLAWTLNAGW BNRGID GE","","MIZORAM","17","22","4.7","9.8","6.57","8.66","35","208","1","1.2","0.32","6.52","1.8","220","350","1600","8.3","110"
"2051","RIVER TLAWNG MID STREAM, REIEK KAI, AIZAWL,D/S OF TLAWTNLAGW BNRGID GE","","MIZORAM","17","22","4.5","10","7.32","9","43","227","1","1.3","0.32","6.66","1.8","220","350","1600","8.3","110"
"2052","RIVER TUIRIAL MID STREAM, TUIRIAL VILLAGE,U/S OF TUIRIALT BURIRIDIAGLE","","MIZORAM","17","22","5","8","6.94","8.5","52","443","1","1.6","0.32","42.75","24","140","1600","1600","21","1600"
"2053","RIVER TUIRIAL MID STREAM, TUIRIAL VILLAGE,D/S OF TUIRIALT BURIRIDIAGLE","","MIZORAM","17","21","4.2","6.6","6.7","8.39","53","430","1","1.3","0.32","42.77","24","140","1600","1600","21","920"
"3709","RIVER TLAWNG SAIRANG","TLAWNG","MIZORAM","17","21","5.5","9.1","7.02","8.64","75","426","1","5.5","0.75","196.02","11","130","540","1600","31","540"
"3714","RIVER TUIRIAL UPSTREAM, SUMSUIH,AIZAWL DIST","TUIRIAL","MIZORAM","14","17","6.8","8","6.1","8.3","17","39","1","1.4","0.32","5.43","","","","","",""
"3715","RIVER TUIRIAL MID STREAM, AIRFIELD, U/S OF TUIRIAL WASTE TMUAIRNIAALG EMENT MCEIZNOTRRAE,MAI ZAWL DIST.","","","16","22","4.9","7","6.74","8.72","58","373","1","1.3","0.81","42.86","","","","","",""
"3717","RIVER TUIRIAL MID STREAM, AIRFIELD, D/S OF TUIRIAL WASTE TMUAIRNIAALG EMENT MCEINZOTRRAE,MAI ZAWL DIST","","","17","22","4.6","7","6.9","8.7","62","360","1","1.7","0.94","42.23","","","","","",""
"3734","RIVER TLAWNG U/S, ZOBAWK VILLAGE, LUNGLEI DIST.","TLAWNG","MIZORAM","14","23","5.6","7.9","6.3","7.8","31","204","1","1.5","0.81","25.06","","","","","",""
"3736","RIVER TLAWNG U/S, PIALTHLENG ZOTLANG, LUNGLEI","TLAWNG","MIZORAM","12","23","5.8","8.3","7","8.5","42","128","1","1.3","0.32","6","","","","","",""
"3754","RIVER TLAWNG D/S, RIMAWI VENG, BAIRABI,KOLASIB DIST.","TLAWNG","MIZORAM","17","27","5.3","9.1","6.7","8.2","78","189","1","1.3","0.65","18.19","","","","","",""
"4118","RIVER TUIRIAL D/S, HEPP DAM, SAIPUM, KOLASIB DIST.","TUIRIAL","MIZORAM","16","21","7.7","9","7","8.1","61","131","1","1.4","0.32","2.66","","","","","",""
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"4121","RIVER TLAWNG D/S,SUARPUI, BAIRABI HEPP DAM SITE, BAIRATBLIA,KWONLAGS IB DIST.","","MIZORAM","15","29","6.3","9.3","6.6","8.2","76","179","1","1.4","0.32","12.02","","","","","",""
"5719","River Tuirial at/near Muallungthu Village area (upper stretches oTfu Ririivael r Tuirial),MAiIzZaOwRlA DMis trict, Mizoram","","","15","20","5","7.8","5.96","8","52","428","1","1.4","0.58","28.04","","","","","",""
"5724","River Tlawng at/near Buarpui Village area (upper stream of BuaTrplauwi vnigll age),LunMglIeZiO DRisAtMrc it, Mizoram","","","19","27","4.6","8.6","6.4","7.8","60","201","1","1.4","0.44","8.48","","","","","",""
"1455","RIVER RUSHIKULYA AT GANJAM U/S (NEAR BABA TOLEKESWRAURS THEIMKUPLLYEA,  KARAOPADDISAH)A M ADHOPUR","","","21","28","6.2","11.3","7.2","8.4","340","28570","1.4","2.1","0.32","0.84","330","1300","1100","3500","11","33"
"1456","RIVER RUSHIKULYA AT GANJAM D/S (NEAR POTTAGARH PORRTU)","SHIKULYA","ODISHA","23","28","7.2","8.9","6.5","8.3","9180","38100","1.7","2","0.32","0.91","130","700","490","2400","8","33"
"1642","RIVER NAGAVALI AT JAYKAYPUR D/S","NAGAVALI","ODISHA","20","26","6","7.9","7.3","8.3","184","292","1.3","1.8","0.39","1.03","170","2200","490","4700","1.8","34"
"1643","RIVER NAGAVALI AT RAYAGADA D/S","NAGAVALI","ODISHA","18","26","5.8","8.3","7.1","8.1","210","723","1.1","1.9","0.46","14.45","220","2200","790","4900","1.8","33"
"2422","RIVER NAGAVALI AT PENTA U/S, JAYKAYPUR TOWN","NAGAVALI","ODISHA","20","27","5.5","7.6","7.2","8.4","213","462","1.1","1.5","0.4","0.96","170","1700","330","2800","",""
"2423","RIVER BUDHABALANGA AT D/S OF BARIPADA TOWN","BUDHABALANGA","ODISHA","24","31","5.6","8.9","6.9","8.4","180","386","2.1","2.5","0.32","0.93","17","2200","1100","4900","11","33"
"2424","RIVER BUDHABALANGA AT BALASORE D/S","BUDHABALANGA","ODISHA","22","29","4.4","9.3","7.3","8.5","138","13300","1.5","1.8","0.36","0.92","1100","2400","2200","4900","",""
"2425","RIVER KERANDI (INTAKE WELL OF NALCO REFINARY, HAL, SUNAKEBREADNA)","DI","ODISHA","16","28.5","6.8","7.9","7.2","8.3","85","192","1.2","1.6","0.39","0.85","130","790","490","2800","",""
"3943","RIVER BUDHABALANGA AT BALASORE U/S","BUDHABALANGA","ODISHA","23","31","6.4","9.2","7.4","8.5","158","616","2","2.2","0.34","0.86","220","2200","1100","4700","",""
"3945","RIVER RUSHIKULYA AT ASKA","RUSHIKULYA","ODISHA","21","30","5.2","7.9","6.9","8.2","325","380","1.2","1.9","0.32","0.74","230","1700","490","4900","",""
"3947","RIVER RUSHIKULYA AT NALABANTA","RUSHIKULYA","ODISHA","20","29","5.1","9.4","7.1","8.3","250","424","1.2","1.8","0.32","0.81","170","2200","700","4900","",""
"1685","RIVER ARASALAR,VIZHUTHIYUR ROAD, ODUDHURAI, KARAIKAALR, AUS.AT LOAFR P UDUCHPUERDRUYC","","HERRY","27","32","3.2","7.7","6.54","8.42","381","2740","1","2.8","0.32","0.32","1.8","1600","1.8","1600","84","210"
"2442","RIVER GAUTAMI-GODAVARI NEAR BALAYOGI BRIDGE, YGANAUATMA,M UI.-TG OOFD PAUVDAURCI HPEURDRUY","","CHERRY","29","29","7.3","7.3","8.08","8.08","2990","2990","1","1","0.32","0.32","","","","","",""
"2443","RIVER GAUTAMI-GODAVARI NEAR ADAVIPOLAM, YANA MGA, UU.TTA OMFI -GPUODDUACVHAERRI RPYU","","DUCHERRY","28","28","8","8","8.06","8.06","5460","5460","1","1","0.32","0.32","","","","","",""
"2445","RIVER MAHE,MAHE REGION, U.T OF PUDUCHERRY","MAHE","PUDUCHERRY","27","27","6.4","6.4","5.78","5.78","","","2","2","","","","","","","",""
"1023","RIVER GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUGNHAJAGB","GAR","PUNJAB","14","41","5.1","8.4","7.1","7.8","465","531","7","11","1","1.2","1700","2100","1700","21000","",""
"1024","RIVER GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PAGTHIAALGAG)A, PRU NJAB","","PUNJAB","9","37","2.8","3.6","7.4","7.8","914","1081","15","25","1.5","2.4","3800","4800","28000","35000","",""
"1295","RIVER GHAGGAR NEAR BANKARPUR, DERA BASSI, PUNJAB","GHAGGAR","PUNJAB","9","41","3.1","4.9","7.2","8","797","914","12","19","1","1.3","2100","3800","21000","28000","",""
"1473","RIVER GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTEGR HCAOGNGFLA.R),  PUNJAPB","","UNJAB","10","32","2.1","3.5","7.4","7.9","915","1029","16","24","1.5","2.4","3400","3900","28000","35000","",""
"1698","RIVER GHAGGAR AT D/S CHHATBIR, PUNJAB","GHAGGAR","PUNJAB","13","40","2.8","4.2","7.2","7.9","827","947","13","19","1.1","1.5","2600","3900","22000","28000","",""
"1699","RIVER GHAGGAR AT U/S DHAKANSU NALLAH, PUNJAB","GHAGGAR","PUNJAB","8","43","3.6","4.2","7.3","7.8","635","740","12","15","1.1","1.5","2100","3400","21000","28000","",""
"1700","RIVER GHAGGAR AT D/S DHAKANSU NALLAH, PUNJAB","GHAGGAR","PUNJAB","8","43","2.7","4","7.2","7.7","832","974","14","22","1.3","1.6","2700","3900","24000","35000","",""
"1701","RIVER GHAGGAR AT D/S JHARMAL NADI, PUNJAB","GHAGGAR","PUNJAB","9","43","2.8","3.9","7.2","7.7","751","880","13","18","1.2","1.4","2700","3900","24000","28000","",""
"1702","RIVER GHAGGAR AT U/S JHARMAL NADI, PUNJAB","GHAGGAR","PUNJAB","7","41","3.8","4.8","7.3","7.7","610","910","8","14","1.1","1.4","2100","3400","21000","24000","",""
"1703","RIVER GHAGGAR AT MOONAK, PUNJAB","GHAGGAR","PUNJAB","9","37","2.1","3.3","7.4","8","991","1191","10","27","1.9","3","4600","6300","35000","43000","",""
"1704","RIVER GHAGGAR AT D/S SARDULGARH, PUNJAB","GHAGGAR","PUNJAB","9","32","4","6.7","7.3","8","493","710","8","14","0.9","1.7","2100","2700","21000","28000","",""
"1705","RIVER GHAGGAR AT U/S SARDULGARH, PUNJAB","GHAGGAR","PUNJAB","9","32","5","6.9","7.3","8","403","523","7","11","0.8","1.5","1700","2100","17000","21000","",""
"4159","RIVER GHAGGAR U/S BEFORE MIXING WITH SAGARPARA DRAGINH AAGT GVAILRL  RASOUPLUI,N DJAISBT  PATIALA","","","9","33","2","3.5","7.4","8","831","991","13","21","1.4","2.2","3200","3900","28000","28000","",""
"4160","RIVER GHAGGAR D/S AFTER MIXING WITH SAGARPARA DRAIGNH AATG VGILALR R ASOUPLIU, NPAJATBIA LA","","","9","36","2","3.1","7.3","7.9","951","1131","17","24","1.7","2.5","3800","4600","28000","35000","",""
"4162","RIVER GHAGGAR CONFLUENCE POINT OF SUKHANA CHOE WITGHH GAHGAGGAGRA R, VILPLU MNUJABBA RKPUR","","","12","41","0.3","2.3","7.1","7.9","2583","3448","84","142","4","6.3","94000","170000","280000","350000","",""
"30015","RIVER GHAGGAR AT MUBARAKPUR (PUNJAB)","GHAGGAR","PUNJAB","17","35","1.8","3.9","7.7","8.2","662","965","16","87","0.32","1.17","1700000","110000000","4600000","350000000","54000","130000"
"30016","RIVER GHAGGAR AT TIWANA VILLAGE ,(PUNJAB)","GHAGGAR","PUNJAB","16","35","0.5","2.5","7.6","7.99","799","1107","18","34","0.32","2.39","48000","1600000000","1600000","1600000000","17000","24000"
"30019","RIVER GHAGGAR AT SIRDULGARH(PUNJAB)","GHAGGAR","PUNJAB","13.5","34.5","4","6","7.6","7.8","555","1109","3","11","1.64","3.49","200","7000","1700","35000","23","45"
"2947","RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN","JAWAI","RAJASTHAN","21.6","30","4.5","6.8","7.65","8.35","373","686","1","2","1.87","4.32","1.8","1.8","1.8","13","1.8","1.8"
"30021","RIVER GHAGGAR AT SIRSA HANUMANGARH ROAD (RAJASTHAGNH)","AGGAR","RAJASTHAN","","","4.8","4.8","8.45","8.45","2640","2640","9","9","5.31","5.31","9300","9300","49000","49000","920","920"
"1159","RIVER TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.TPAAMPABVIRINAAPASARMAN, IT AMTIALNMAILD NU","","ADU","20","32","6.6","7.2","6.24","7.95","42","1344","2","2.4","0.32","0.32","2.3","17.1","14","38","",""
"1160","RIVER TAMBIRAPARANI AT CHERANMADEVI, CAUSE WAY,T TAAMMBILIRNAAPDAUR","ANI","TAMIL NADU","25","32","6.1","7.1","6.71","7.83","70","1693","2","3","0.32","0.32","12","47","24","79","",""
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"1161","RIVER TAMBIRAPARANI AT TIRUNELVELI, COLLECTORATE, TTAAMMBILINRAAPDAUR.","ANI","TAMIL NADU","27","32","6.5","7","6.44","7.85","99","1638","2","3","0.32","0.72","14","48","25","84","",""
"1162","RIVER TAMBIRAPARANI AT MURAPPANADU, TAMILNADU","TAMBIRAPARANI","TAMIL NADU","27","31","6","6.9","6.72","8.2","130","280","2","2.8","0.32","0.32","14","39","33","70","",""
"1328","RIVER TAMBIRAPARANI AT THIRUVIDAIMARUTHUR TAMILTNAAMDBUI","RAPARANI","TAMIL NADU","24","31","6","7","6.35","7.61","57","1586","2","3.1","0.32","0.32","6.1","41","21","79","",""
"1329","RIVER TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDATMA,M TABMIRAILPNAARDAUN I","","TAMIL NADU","23","32","6.4","7","6.36","7.48","52","1485","2","2.4","0.32","0.35","8.2","31","17","48","1.8","1.8"
"1330","RIVER TAMBIRAPARANI AT AUTHOOR TAMILNADU","TAMBIRAPARANI","TAMIL NADU","27","29.5","5.1","5.9","6.7","8.49","258","816","2.4","2.9","0.32","0.7","6.1","48","14","94","",""
"1450","RIVER PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAPAMLIALNR ADU","","TAMIL NADU","20","24","6.1","6.5","7.84","8.5","","","2","2","0.32","0.32","210","1445","435","2005","",""
"3025","RIVER TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNATDAU","MBIRAPARANI","TAMIL NADU","27","29","5.3","6.2","6.8","8.3","231","560","2.3","2.7","0.32","0.5","10","39","24","79","",""
"3026","RIVER TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELTIA, MTABMIRIALNPAADRAU","NI","TAMIL NADU","24","31","6.2","7.1","6.54","7.45","60","1287","2","3","0.32","0.38","4","39","11","70","",""
"3027","RIVER TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANTAAICMUBTI,R TAIRPUANRAELNVI ELI,T TAAMMILIL NNAADDUU","","","28","30.5","5.4","6.7","6.79","8.28","142","300","2.2","2.6","0.32","0.33","11","48","24","84","",""
"3028","RIVER TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMTILANMABDIUR","APARANI","TAMIL NADU","26","32","6.4","7.1","7.1","7.86","112","1957","2","3.1","0.32","0.77","4","43.9","25","82.6","",""
"3029","","RIVER TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINTAT MOBF IKRUATPTARRAALNAIM  FATALLMS,I LD N/SA ODUF  PALAYAMKOTTAI,2 T8I RUNE3L1V ELI, T6A MILN7A DU","","","","","","7.24","8.49","132","393","2","3","0.32","0.49","17","45","48","84","",""
"10062","RIVER TAMRABARANI AT TIRUNELVELI D/S","TAMBIRAPARANI","TAMIL NADU","27","31","5.8","7","7","8.01","108","1989","2","3.1","0.32","0.72","14","47","32","85","",""
"1403","RIVER GUMTI AT U/S SOUTH TRIPURA, TRIPURA","GUMTI","TRIPURA","24.5","31.5","5.2","5.8","6.93","7.49","135","191","1.2","1.8","0.8","1","39","58","110","210","",""
"1404","RIVER GUMTI AT D/S SOUTH TRIPURA, TRIPURA","GUMTI","TRIPURA","25.5","32.5","5","5.9","7.02","7.77","139","213","1.3","2.2","1","1.9","46","70","170","350","",""
"1726","RIVER HAORA D/S OF CHANDRAPUR, AGARTALA D/S OF TRIPURHAA","ORA","TRIPURA","25.5","32","5.2","5.8","7.05","7.69","134","188","1.2","1.8","0.8","1.3","39","63","110","220","",""
"3397","RIVER HAORA AT DASHAMIGHAT, WEST TRIPURA","HAORA","TRIPURA","24","32.5","5.1","5.8","6.91","7.88","157","258","1.9","3.1","1.6","2.4","63","110","350","430","",""
"3398","RIVER KHOWAI AT TRISHA BARI, TELIAMURA, WEST TRIPURA","KHOWAI","TRIPURA","23","31","5.3","5.9","6.95","7.71","126","189","1.1","2.1","1","1.6","39","70","120","350","",""
"3399","RIVER KHOWAI AT KUMARI MADHUTI SETU, WEST TRIPURA","KHOWAI","TRIPURA","23","31","5.4","6.1","6.91","7.69","121","181","1.1","1.9","0.9","1.5","38","63","110","280","",""
"3400","RIVER KHOWAI AT CHAKMAGHAT, WEST TRIPURA","KHOWAI","TRIPURA","23.5","31.5","5.2","5.9","6.75","7.48","118","174","1.2","1.9","1.1","1.6","39","63","120","280","",""
"3401","RIVER HAORA AT ARALIA, WEST TRIPURA","HAORA","TRIPURA","24.5","32","5.1","5.9","6.61","7.67","142","222","1.6","2.8","1.2","2","58","94","220","350","",""
"3402","RIVER HAORA AT KALABAGAN, WEST TRIPURA","HAORA","TRIPURA","24","31.5","5.4","6.2","7.03","7.92","136","211","1.1","1.6","1","1.6","43","63","130","280","",""
"3403","RIVER HAORA AT JOYNAGAR, WEST TRIPURA","HAORA","TRIPURA","24","31.5","5.3","6.1","7.01","7.77","129","181","1.1","1.9","0.9","1.6","41","58","120","280","",""
"3404","RIVER KHOWAI AT KARAILONG, TELIAMURA, WEST TRIPURA","KHOWAI","TRIPURA","23.5","31","5.2","6.1","6.71","7.69","127","189","1.1","1.7","0.8","1.3","38","58","110","220","",""
"3405","RIVER BURIGAON AT BISHALGARH, WEST TRIPURA","BURIGAON","TRIPURA","24","32","5.2","5.9","7.06","7.93","146","241","1.5","2.8","1.5","2.3","48","94","240","350","",""
"3406","RIVER GUMTI AT RAJDHARNAGAR, SOUTH TRIPURA","GUMTI","TRIPURA","24.5","31.5","5.2","5.9","6.95","7.69","129","195","1.1","1.8","0.9","1.4","41","63","120","280","",""
"3407","RIVER GUMTI AT AMARPUR, SOUTH TRIPURA","GUMTI","TRIPURA","24","31.5","5.4","6.3","7.02","7.81","124","179","1.1","1.9","0.9","1.6","38","63","110","280","",""
"3408","RIVER GUMTI AT THIRTHAMUKH, SOUTH TRIPURA","GUMTI","TRIPURA","24","31.5","5.3","6.4","7.01","7.75","121","182","1.1","1.9","0.9","1.5","38","58","110","240","",""
"3409","RIVER GUMTI AT SUBHAS SETU, DHAJANAGAR, D/S UDAIPUR CIGTUY,M SOTIU TH TRIPTURRIPA","","URA","24.5","31.5","5.2","6.1","7.05","7.89","129","193","1.1","2.1","1.1","1.9","38","63","110","280","",""
"3410","RIVER FENI AT SABROOM (INTERSTATE BOUNDARY), SOUTH TRIPFUERNAI","","TRIPURA","24","31.5","5.3","6.1","6.93","7.79","125","174","1.1","2.1","1","1.7","38","63","110","280","",""
"3411","RIVER FENI AT CHOTOKHIL BATTALA, SOUTH TRIPURA","FENI","TRIPURA","24","31.5","5.3","6.2","7.11","7.71","121","179","1.1","2","1","1.4","33","58","94","240","",""
"3412","RIVER MUHARI AT BANKAR (INTERSTATE BOUNDRY), BELONIAM, SUOHUATRHI  TRIPURAT","","RIPURA","24","31","5.5","6.3","6.91","7.69","125","181","1.2","1.7","0.9","1.2","39","63","110","220","",""
"3413","RIVER MUHARI AT MUHARICHAR, SOUTH TRIPURA","MUHARI","TRIPURA","24.5","31","5.4","6.1","7.02","7.71","121","175","1.2","1.7","0.8","1.1","39","58","110","240","",""
