"Water Quality data of Medium & Minor River Monitored Under NWMP-2024"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"1025","RIVER GHAGGAR GH-1 AT ROAD BRDG. SIRSA, DEBWALI ROADG","HAGGAR","HARYANA","","","5.4","5.8","7.5","8.3","704","1310","7","47","","","6500","11000","12000","25000","1100","5600"
"1026","RIVER GHAGGAR GH-2 AT CHANDARPUR SYPHEN","GHAGGAR","HARYANA","","","5.5","5.9","7.5","8.2","468","704","7","36","","","3200","11000","6500","25000","1200","5600"
"1884","RIVER GHAGGAR AT KALA AMB D/S MARKANDA","GHAGGAR","HARYANA","","","0.3","2.8","6.74","7.94","408","3430","14","72","0.3","1.62","800","3400","2100","7900","100","800"
"1885","RIVER GHAGGAR AT D/S OF SURAJPUR","GHAGGAR","HARYANA","","","0.3","7.6","6.58","8.08","210","584","2","34","0.3","0.86","100","600","800","1700","1.8","200"
"1887","RIVER GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATGLHUAJ GCAGNARA L WATEHRA)","","RYANA","","","5.5","5.8","7.5","8","636","820","7","16","","","6200","12000","15000","25000","3500","5600"
"30007","RIVER MARKANDA AT NARAINGARH (HARYANA)","MARKANDA","HARYANA","18","33","3.1","4.5","6.7","7.7","481","1353","13","52","0.32","2.33","7800","1400000","49000","17000000","78","220000"
"30014","RIVER GHAGGAR AT PARWANOO D/S,AMRAVATI, HARYANA","GHAGGAR","HARYANA","18","33","6","6.8","7.9","8.2","400","564","1.6","18","2.07","2.92","4000","210000","17000","1100000","700","3300"
"30017","RIVER GHAGGAR AT SIRSA DABWALI ROAD (HARYANA)","GHAGGAR","HARYANA","13.5","34","4","6.1","7.18","8","542","993","3","11","0.79","3.65","180","54000","490","92000","40","2400"
"30018","RIVER GHAGGAR AT CHANDRAPUR SIPHON (HARYANA)","GHAGGAR","HARYANA","13","34","3.5","6.7","7.5","7.9","598","1020","1","19","0.8","4.09","780","43000","2200","92000","200","490"
"30020","RIVER GHAGGAR AT OTTU WEIR (HARYANA)","GHAGGAR","HARYANA","13.5","34","4","6.8","7.6","8.5","481","946","4","10","0.71","2.99","4600","36000","7000","170000","110","700"
"1871","RIVER MARKANDA AT SHAMBUWALA, DISTT. SIRMOUR","MARKANDA","HIMACHAL PRADESH","","","8","8.8","6.84","8.17","345","869","1","1.7","0.64","1","21","110","170","280","1.8","1.8"
"2624","RIVER MARKANDA U/S KALA AMB","MARKANDA","HIMACHAL PRADESH","","","7.2","8.2","7.71","8.45","276","949","1.2","2.5","0.65","0.9","32","140","170","540","1.8","1.8"
"2625","RIVER MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA","MARKANDA","HIMACHAL PRADESH","","","7.2","8.3","7.63","8.49","329","950","1.4","2.7","0.65","1.02","33","170","220","540","1.8","1.8"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3862","RIVER MARKANDA AFTER CONFLUENCE WITH SALANI KHAD AMTA MRKOAGNINDAAN D KAHLAIM AAMCBH","","AL PRADESH","","","7.4","8.4","7.74","8.39","267","937","1.1","2","0.67","1.02","21","170","120","540","1.8","1.8"
"3864","RIVER MARKANDA AFTER CONFLUENCE OF RAMPUR JATTANM MAORGKAINNADNAD  NALAH I","","MACHAL PRADESH","","","7","8.2","7.25","8.33","307","664","1.7","2.8","0.67","1.01","47","280","280","1600","1.8","1.8"
"30008","RIVER MARKANDA AT KALA AMB U/S (H.P)","MARKANDA","HIMACHAL PRADESH","14.5","33","6","9.2","7.7","8.4","396","528","1.6","20","1.09","1.97","54000","200000","92000","21000000","220","33000"
"1444","RIVER KALI AT D/S WEST COAST PAPER MILL (WCPM)","KALI (KARNATAKA)","KARNATAKA","23","29","6.5","7.7","7.1","7.8","62","118","1.9","2.4","0.32","0.32","26","140","210","630","",""
"1892","RIVER NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLNYE ITNRTAAVKAET PHOI INT","","KARNATAKA","26","33","6.3","7.9","7.1","8.4","52","160","1.6","2.8","0.3","1.4","17","34","170","540","",""
"1894","RIVER KUMARADHARA U/S OF UPPINAGADY TOWN BEFORKEU CMOANRFLAUDEHNACREA W ITHKA NRENTAHTRAAKVAA THI","","","27","34","6.5","7.6","6.8","8.3","41","162","1.8","2.7","0.3","1.4","12","34","140","430","",""
"2780","RIVER KALI AT U/S OF WCPM, DANDELI","KALI (KARNATAKA)","KARNATAKA","23","29","6.1","7.9","7.2","7.9","51","93","1.9","2.3","0.32","0.32","23","120","170","540","",""
"3562","RIVER NETRAVATHI AT THUMBE WATER SUPPLY STATIONS TNOE MTRAANVGAATLHOI RE CITKYA","","RNATAKA","27","33","7","7.9","7.4","8.2","58","350","2","2.8","0.3","1.6","17","38","170","540","",""
